location_id,city_name,state_name,state_code,country,region,mesoregion,latitude,longitude,altitude_m,population_class
matos_costa,Matos Costa,Santa Catarina,SC,Brasil,Sul,Serrana,-26.474,-51.151,0,small
meleiro,Meleiro,Santa Catarina,SC,Brasil,Sul,Sul Catarinense,-28.8303,-49.635,0,small
mirim_doce,Mirim Doce,Santa Catarina,SC,Brasil,Sul,Norte Catarinense,-27.2004,-50.0697,0,small
modelo,Modelo,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-26.7752,-53.0526,0,small
mondai,Mondaí,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-27.1021,-53.3992,0,small
monte_carlo,Monte Carlo,Santa Catarina,SC,Brasil,Sul,Serrana,-27.2217,-50.9784,0,small
monte_castelo,Monte Castelo,Santa Catarina,SC,Brasil,Sul,Norte Catarinense,-26.461,-50.2327,0,small
morro_da_fumaca,Morro da Fumaça,Santa Catarina,SC,Brasil,Sul,Vale do Itajaí,-28.6522,-49.2134,0,small
morro_grande,Morro Grande,Santa Catarina,SC,Brasil,Sul,Sul Catarinense,-28.8006,-49.7214,0,small
navegantes,Navegantes,Santa Catarina,SC,Brasil,Sul,Norte Catarinense,-26.8899,-48.6496,0,small
nova_erechim,Nova Erechim,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-26.9028,-52.9071,0,small
nova_itaberaba,Nova Itaberaba,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-26.9407,-52.8133,0,small
nova_trento,Nova Trento,Santa Catarina,SC,Brasil,Sul,Vale do Itajaí,-27.2863,-48.9303,0,small
nova_veneza,Nova Veneza,Santa Catarina,SC,Brasil,Sul,Sul Catarinense,-28.6374,-49.4998,0,small
novo_horizonte,Novo Horizonte,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-26.4466,-52.832,0,small
orleans,Orleans,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-28.3573,-49.2872,0,small
otacilio_costa,Otacílio Costa,Santa Catarina,SC,Brasil,Sul,Serrana,-27.4832,-50.1195,0,small
ouro,Ouro,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-27.3389,-51.6138,0,small
ouro_verde,Ouro Verde,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-26.6942,-52.3104,0,small
paial,Paial,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-27.2565,-52.4998,0,small
painel,Painel,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-27.9215,-50.0995,0,small
palhoca,Palhoça,Santa Catarina,SC,Brasil,Sul,Grande Florianópolis,-27.6448,-48.6646,0,small
palma_sola,Palma Sola,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-26.3482,-53.2776,0,small
palmeira,Palmeira,Santa Catarina,SC,Brasil,Sul,Vale do Itajaí,-27.5798,-50.1589,0,small
palmitos,Palmitos,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-27.0711,-53.1597,0,small
papanduva,Papanduva,Santa Catarina,SC,Brasil,Sul,Norte Catarinense,-26.4085,-50.1424,0,small
paraiso,Paraíso,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-26.6184,-53.6751,0,small
passo_de_torres,Passo de Torres,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-29.3254,-49.7219,0,small
passos_maia,Passos Maia,Santa Catarina,SC,Brasil,Sul,Serrana,-26.7806,-52.0611,0,small
paulo_lopes,Paulo Lopes,Santa Catarina,SC,Brasil,Sul,Grande Florianópolis,-27.965,-48.683,0,small
pedras_grandes,Pedras Grandes,Santa Catarina,SC,Brasil,Sul,Sul Catarinense,-28.4358,-49.1864,0,small
